Movie Name,Scraped Name,Budget,Director,Writer,Actor,Rating,OtherInfo,Date,DirectorsRating,WritersRating,TotalFollowers,Revenue
Foodfight!,Foodfight!,45000000,['Lawrence Kasanoff'],"['Lawrence Kasanoff', 'Joshua Wexler', 'Brent V. Friedman']","['Hilary Duff', 'Haylie Duff', 'Charlie Sheen']",1.3,"2012
PG
1h 31m",2012,1,1.666666667,18.30103,"$120,323 "
Superbabies: Baby Geniuses 2,Superbabies: Baby Geniuses 2,20000000,['Bob Clark'],"['Robert Grasmere', 'Francisca Matos', 'Steven Paul']","['Jon Voight', 'Scott Baio', 'Vanessa Angel']",1.5,"2004
PG
1h 28m",2004,7,1.5,7.682560212,"$9,355,369 "
The Oogieloves in the BIG Balloon Adventure,The Oogieloves in the Big Balloon Adventure,20000000,['Matthew Diamond'],"['Scott Stabile', 'Kenn Viselman', 'Alex J Greene']","['Jaime Pressly', 'Cloris Leachman', 'Christopher Lloyd']",1.7,"2012
G
1h 28m",2012,1,1,11.45004269,"$1,065,907 "
Justin Bieber: Never Say Never,Justin Bieber: Never Say Never,13000000,['Jon M. Chu'],"['Justin Bieber', 'Boyz II Men', 'Miley Cyrus']","['Justin Bieber', 'Boyz II Men', 'Miley Cyrus']",1.7,"2011
G
1h 45m",2011,6.333333333,1,20.04559089,"$99,034,125 "
Disaster Movie,Disaster Movie,20000000,"['Jason Friedberg', 'Aaron Seltzer']","['Jason Friedberg', 'Aaron Seltzer']","['Carmen Electra', 'Vanessa Lachey', 'Nicole Parker']",1.9,"2008
PG-13
1h 27m",2008,2.333333333,3.333333333,18.60205999,"$36,720,752 "
From Justin to Kelly,From Justin to Kelly,12000000,['Robert Iscove'],['Kim Fuller'],"['Kelly Clarkson', 'Justin Guarini', 'Katherine Bailess']",1.9,"2003
PG
1h 21m",2003,3.666666667,3.333333333,15.09062798,"$4,922,166 "
United Passions,United Passions,30000000,['FrÃ©dÃ©ric Auburtin'],"['FrÃ©dÃ©ric Auburtin', 'Jean-Paul Delfino']","['GÃ©rard Depardieu', 'Sam Neill', 'Tim Roth']",2.1,"2014
Not Rated
1h 50m",2014,4.5,2,10.39238035,"$168,832 "
House of the Dead,House of the Dead,7000000,['Uwe Boll'],"['Mark A. Altman', 'Dan Bates', 'Dave Parker']","['Jonathan Cherry', 'Tyron Leitso', 'Clint Howard']",2.1,"2003
R
1h 30m",2003,2.666666667,2,10.95311514,"$13,860,078 "
The HelixÃ¢ÂÂ¦Loaded,The Helix... Loaded,1000000,['A. Raven Cruz'],['A. Raven Cruz'],"['Scott Levy', 'Vanilla Ice', 'Geremy Dingle']",2.1,"2005
R
1h 37m",2005,2,2,10.95300387,#N/A
Son of the Mask,Son of the Mask,100000000,['Lawrence Guterman'],['Lance Khazei'],"['Jamie Kennedy', 'Traylor Howard', 'Alan Cumming']",2.2,"2005
PG
1h 34m",2005,3.5,2,14.53558973,"$59,918,422 "
Who's Your Caddy?,Who's Your Caddy?,7000000,['Don Michael Paul'],"['Don Michael Paul', 'Bradley Allenstein', 'Robert Henny']","['Big Boi', 'Jeffrey Jones', 'Terry Crews']",2.2,"2007
PG-13
1h 33m",2007,3,3,13.30103,"$5,694,308 "
Rock the House,De Bellinga's: Huis op stelten,250000,['Armando de Boer'],['Martijn Koevoets'],"['Luan Bellinga', 'Lucilla Bellinga', 'DaniÃ«l Bellinga']",2.2,"2022
1h 5m",2022,2,2,9.531734309,$0 
Rock the House,De Bellinga's: Huis op stelten,250000,['Armando de Boer'],['Martijn Koevoets'],"['Luan Bellinga', 'Lucilla Bellinga', 'DaniÃ«l Bellinga']",2.2,"2022
1h 5m",2022,2,2,9.531734309,$0 
Chairman of the Board,Chairman of the Board,7000000,['Alex Zamm'],"['Alfredo SeptiÃ©n', 'Turi Meyer', 'Alex Zamm']","['Scott 'Carrot Top' Thompson', 'Courtney Thorne-Smith', 'Larry Miller']",2.3,"1997
PG-13
1h 35m",1997,2,2,7.44681589,"$306,715 "
