moviename,scrapedname,budget,director,writer,actor,rating,otherinfo,date,directorsrating,writersrating,totalfollowers,revenue,averagecriticrating,year,genre
Foodfight!,Foodfight!,45000000,['Lawrence Kasanoff'],"['Lawrence Kasanoff', 'Joshua Wexler', 'Brent V. Friedman']","['Hilary Duff', 'Haylie Duff', 'Charlie Sheen']",1.3,"2012
PG
1h 31m",1970-01-01 00:00:00.000002012,1.0,1.666666667,18.30103,0.0,1.3333333335000002,1970,
Superbabies: Baby Geniuses 2,Superbabies: Baby Geniuses 2,20000000,['Bob Clark'],"['Robert Grasmere', 'Francisca Matos', 'Steven Paul']","['Jon Voight', 'Scott Baio', 'Vanessa Angel']",1.5,"2004
PG
1h 28m",1970-01-01 00:00:00.000002004,7.0,1.5,7.682560212,0.0,4.25,1970,
The Oogieloves In The Big Balloon Adventure,The Oogieloves In The Big Balloon Adventure,20000000,['Matthew Diamond'],"['Scott Stabile', 'Kenn Viselman', 'Alex J Greene']","['Jaime Pressly', 'Cloris Leachman', 'Christopher Lloyd']",1.7,"2012
G
1h 28m",1970-01-01 00:00:00.000002012,1.0,1.0,11.45004269,0.0,1.0,1970,
Justin Bieber: Never Say Never,Justin Bieber: Never Say Never,13000000,['Jon M. Chu'],"['Justin Bieber', 'Boyz II Men', 'Miley Cyrus']","['Justin Bieber', 'Boyz II Men', 'Miley Cyrus']",1.7,"2011
G
1h 45m",1970-01-01 00:00:00.000002011,6.333333333,1.0,20.04559089,0.0,3.6666666665,1970,
Disaster Movie,Disaster Movie,20000000,"['Jason Friedberg', 'Aaron Seltzer']","['Jason Friedberg', 'Aaron Seltzer']","['Carmen Electra', 'Vanessa Lachey', 'Nicole Parker']",1.9,"2008
PG-13
1h 27m",1970-01-01 00:00:00.000002008,2.333333333,3.333333333,18.60205999,0.0,2.833333333,1970,
From Justin To Kelly,From Justin To Kelly,12000000,['Robert Iscove'],['Kim Fuller'],"['Kelly Clarkson', 'Justin Guarini', 'Katherine Bailess']",1.9,"2003
PG
1h 21m",1970-01-01 00:00:00.000002003,3.666666667,3.333333333,15.09062798,0.0,3.5,1970,
United Passions,United Passions,30000000,['FrÃ©dÃ©ric Auburtin'],"['FrÃ©dÃ©ric Auburtin', 'Jean-Paul Delfino']","['GÃ©rard Depardieu', 'Sam Neill', 'Tim Roth']",2.1,"2014
Not Rated
1h 50m",1970-01-01 00:00:00.000002014,4.5,2.0,10.39238035,0.0,3.25,1970,
House Of The Dead,House Of The Dead,7000000,['Uwe Boll'],"['Mark A. Altman', 'Dan Bates', 'Dave Parker']","['Jonathan Cherry', 'Tyron Leitso', 'Clint Howard']",2.1,"2003
R
1h 30m",1970-01-01 00:00:00.000002003,2.666666667,2.0,10.95311514,0.0,2.3333333334999997,1970,
The HelixÃ¢ÂÂ¦Loaded,The Helix... Loaded,1000000,['A. Raven Cruz'],['A. Raven Cruz'],"['Scott Levy', 'Vanilla Ice', 'Geremy Dingle']",2.1,"2005
R
1h 37m",1970-01-01 00:00:00.000002005,2.0,2.0,10.95300387,0.0,2.0,1970,
Son Of The Mask,Son Of The Mask,100000000,['Lawrence Guterman'],['Lance Khazei'],"['Jamie Kennedy', 'Traylor Howard', 'Alan Cumming']",2.2,"2005
PG
1h 34m",1970-01-01 00:00:00.000002005,3.5,2.0,14.53558973,0.0,2.75,1970,
Who'S Your Caddy?,Who'S Your Caddy?,7000000,['Don Michael Paul'],"['Don Michael Paul', 'Bradley Allenstein', 'Robert Henny']","['Big Boi', 'Jeffrey Jones', 'Terry Crews']",2.2,"2007
PG-13
1h 33m",1970-01-01 00:00:00.000002007,3.0,3.0,13.30103,0.0,3.0,1970,
Rock The House,De Bellinga'S: Huis Op Stelten,250000,['Armando de Boer'],['Martijn Koevoets'],"['Luan Bellinga', 'Lucilla Bellinga', 'DaniÃ«l Bellinga']",2.2,"2022
1h 5m",1970-01-01 00:00:00.000002022,2.0,2.0,9.531734309,0.0,2.0,1970,
Rock The House,De Bellinga'S: Huis Op Stelten,250000,['Armando de Boer'],['Martijn Koevoets'],"['Luan Bellinga', 'Lucilla Bellinga', 'DaniÃ«l Bellinga']",2.2,"2022
1h 5m",1970-01-01 00:00:00.000002022,2.0,2.0,9.531734309,0.0,2.0,1970,
Chairman Of The Board,Chairman Of The Board,7000000,['Alex Zamm'],"['Alfredo SeptiÃ©n', 'Turi Meyer', 'Alex Zamm']","['Scott 'Carrot Top' Thompson', 'Courtney Thorne-Smith', 'Larry Miller']",2.3,"1997
PG-13
1h 35m",1970-01-01 00:00:00.000001997,2.0,2.0,7.44681589,0.0,2.0,1970,
Snow White: A Deadly Summer,Snow White: A Deadly Summer,1000000,['David DeCoteau'],['Barbara Kymlicka'],"['Shanley Caswell', 'Maureen McCormick', 'Eric Roberts']",2.3,"2012
PG-13
1h 23m",1970-01-01 00:00:00.000002012,2.5,2.0,12.48953663,0.0,2.25,1970,
